StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,psy251,drawing1_response,drawing_2 response,drawing3_response,drawing4_response,drawing1alt_response,drawing2alt_response,drawing3alt_response,drawing4alt_response,mood_1,mood_2,mood_3,mood_4,mood_5,mood_6,mood_7,mood_8,mood_9,mood_10,mood_11,mood_12,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_6,ratings_7,ratings_8,ratings_9,ratings_10,ratings_11,ratings_12,ratings_13,ratings_14,ratings_15,gender,ethnicity,age
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.",What do you see in the drawing?,What do you see in the drawing?,What do you see in the drawing?,What do you see in the drawing?,What do you see in the drawing?,What do you see in the drawing?,What do you see in the drawing?,What do you see in the drawing?,Please indicate how much you feel each of the following moods RIGHT NOW. - Positive,Please indicate how much you feel each of the following moods RIGHT NOW. - Negative,Please indicate how much you feel each of the following moods RIGHT NOW. - Good,Please indicate how much you feel each of the following moods RIGHT NOW. - Bad,Please indicate how much you feel each of the following moods RIGHT NOW. - Pleasant,Please indicate how much you feel each of the following moods RIGHT NOW. - Unpleasant,Please indicate how much you feel each of the following moods RIGHT NOW. - Happy,Please indicate how much you feel each of the following moods RIGHT NOW. - Sad,Please indicate how much you feel each of the following moods RIGHT NOW. - Afraid,Please indicate how much you feel each of the following moods RIGHT NOW. - Joyful,Please indicate how much you feel each of the following moods RIGHT NOW. - Angry,Please indicate how much you feel each of the following moods RIGHT NOW. - Contented,Please answer the following questions about the drawings. - I enjoyed them a lot,Please answer the following questions about the drawings. - I liked them a lot,Please answer the following questions about the drawings. - The drawings were very interesting,Please answer the following questions about the drawings. - They were very boring,Please answer the following questions about the drawings. - They were intriguing,Please answer the following questions about the drawings. - They were psychologically rich,Please answer the following questions about the drawings. - They were complex,Please answer the following questions about the drawings. - They were fresh,Please answer the following questions about the drawings. - They were unique,Please answer the following questions about the drawings. - I was surprised by them,Please answer the following questions about the drawings. - They were unusual,Please answer the following questions about the drawings. - They were typical,Please answer the following questions about the drawings. - They were simple,Please answer the following questions about the drawings. - They were fun,Please answer the following questions about the drawings. - They were pleasing,Gender,Race/Ethnicity,Age
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_12""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID15_13""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID15_15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}"
2025-12-04 19:12:15,2025-12-04 19:15:05,IP Address,100,170,TRUE,2025-12-04 19:15:05,R_3fKgbA0plRGfp2b,,,,,anonymous,EN,I understand,A moon with aface,a cup of orange soda,a vase with a planr and two insects above it,fred flintstone,,,,,Very Much,Not at all,Moderately,Not at all,Very Much,Not at all,Very Much,Not at all,Slightly,Moderately,Not at all,Moderately,Not at all,Not at all,Not at all,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very Much,Not at all,Not at all,Male,Caucasian / European American,25
2025-12-04 19:14:35,2025-12-04 19:17:38,IP Address,100,183,TRUE,2025-12-04 19:17:39,R_7rHziALy2N4ZWu5,,,,,anonymous,EN,I understand,,,,,"A moon with a big nose sticking out, like a man of sorts.","A nearly completely filled drink glass, with some kind of orange drink. Maybe wine, soda, or beer.","A vase with a flowering plant sticking out, on some kind of angled surface. There might be mountains in the background.","A normal looking muscular manly man's head, he looks skeptical. Nice hair on top.",Moderately,Slightly,Moderately,Slightly,Very Much,Slightly,Slightly,Not at all,Not at all,Not at all,Slightly,Very Much,Very Much,Moderately,Very Much,Not at all,Very Much,Moderately,Very Much,Extremely,Extremely,Very Much,Moderately,Slightly,Moderately,Very Much,Extremely,Male,South Asian / South Asian American,28
2025-12-04 19:16:58,2025-12-04 19:18:43,IP Address,100,104,TRUE,2025-12-04 19:18:43,R_1rcda0So7PHuFFL,,,,,anonymous,EN,I understand,,,,,A side view of a face with a big nose ,Mountains ,A tigers face ,A man’s face,Extremely,Slightly,Very Much,Slightly,Very Much,Slightly,Extremely,Slightly,Slightly,Very Much,Slightly,Very Much,Very Much,Very Much,Very Much,Slightly,Moderately,Slightly,Moderately,Moderately,Moderately,Not at all,Moderately,Not at all,Not at all,Moderately,Moderately,Female,Latino / Hispanic American,29
2025-12-04 19:17:46,2025-12-04 19:21:23,IP Address,100,216,TRUE,2025-12-04 19:21:23,R_5h6KYKc0appi1HY,,,,,anonymous,EN,I understand,,,,,I see a mountain cliff outlines against the luminescent full moon ,I see a tall drink with foam. Could be alcoholic ,"I see dark and light space that shows a vase with some leaves 
","I see a face of a man who looks upset, could be angry",Moderately,Not at all,Extremely,Not at all,Very Much,Not at all,Moderately,Not at all,Not at all,Slightly,Not at all,Not at all,Very Much,Very Much,Extremely,Not at all,Extremely,Extremely,Moderately,Very Much,Extremely,Extremely,Very Much,Not at all,Not at all,Very Much,Very Much,Female,Latino / Hispanic American,29
2025-12-04 19:17:13,2025-12-04 19:22:59,IP Address,100,345,TRUE,2025-12-04 19:23:00,R_1eUryTTn02OjcoW,,,,,anonymous,EN,I understand,I see a person who looks like their sleeping on their back with their mouth open ,I just see what looks like a drink that is almost full ,I see what looks like a face of a clown with a vase shaped object as its nose ,I see a cartoon drawing made from pencil of a man’s face with a full set of hair ,,,,,Moderately,Not at all,Moderately,Not at all,Extremely,Not at all,Moderately,Not at all,Not at all,Slightly,Not at all,Extremely,Moderately,Moderately,Extremely,Slightly,Very Much,Very Much,Extremely,Moderately,Extremely,Extremely,Not at all,Slightly,Not at all,Very Much,Moderately,Female,Black / African American,30
2025-12-04 19:23:34,2025-12-04 19:26:25,IP Address,100,171,TRUE,2025-12-04 19:26:26,R_7F3ENPDjV0lmHzW,,,,,anonymous,EN,I understand,,,,,A dolphin or a moon with a face.,"A glass with some orange bubbly liquid, perhaps beer or some chemical concoction.",A blue vase with a blue plant inside.,A person with a wide chin and a classic haircut style.,Very Much,Not at all,Moderately,Not at all,Very Much,Not at all,Moderately,Not at all,Not at all,Moderately,Not at all,Extremely,Moderately,Moderately,Extremely,Not at all,Extremely,Moderately,Moderately,Very Much,Very Much,Not at all,Moderately,Not at all,Moderately,Extremely,Very Much,Male,"Caucasian / European American,Latino / Hispanic American",25
2025-12-04 19:21:53,2025-12-04 19:26:51,IP Address,100,297,TRUE,2025-12-04 19:26:51,R_3kbwvfGkr1sWaVb,,,,,anonymous,EN,I understand,,,,,"I see a moon in the background. In the foreground, it looks like a person moaning with their mouth open","It looks like an orange glass that's overflowing with foam, with a drink such as beer inside. Upon further viewing, it reminds me more of a beaker overflowing with a substance in a lab","It looks like a vase with plants with large leafs coming from the top. It also looks a little like a clown's face with clown makeup, with triangular eyebrows at the top ","It looks like a man with a rectangularish face, a large nose, and a poofy pompadour hairstyle ",Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Not at all,Slightly,Moderately,Slightly,Not at all,Slightly,Moderately,Moderately,Moderately,Slightly,Very Much,Moderately,Moderately,Very Much,Very Much,Moderately,Very Much,Slightly,Moderately,Very Much,Slightly,Female,"Caucasian / European American,South Asian / South Asian American",30
2025-12-04 19:12:55,2025-12-04 19:26:57,IP Address,100,841,TRUE,2025-12-04 19:26:58,R_16CKtirQ5Jr9SI9,,,,,anonymous,EN,I understand,,,,,"I first see a werewolf howling at the moon. He has a stumpy cat like kind of face.

If you want me to stretch my imagination I could also see it being a moon that has a face with a big nose. If you really want me to spend time with it, If you flip the drawing upside down it almost looks the the shadow silhouette of a Xenomorph from Alien.","I see a bubbling drink at first. 

Or, maybe the black areas are a space helmet and the color/white areas is a reflection in the visor. Maybe it's a Martian landscape being reflected with the dot in the top right being the Sun. The white dots could be an ancient rock being thats been trapped.","I at first see a very stylized looking cat with slanted eyes. Then I see a pot with flowers in it. 

As crazy as this sounds it could also be a very stylized interpretation of a woman's legs being spread. The middle is the vagina, the bottom curves is her butt. The lines sprouting from it are her thighs and stomach, and then the points at the top are her two breasts.",At first I see a man scrunching his face with a meh expression. Then I see a woman embracing another woman.,Very Much,Slightly,Very Much,Not at all,Very Much,Not at all,Moderately,Slightly,Not at all,Moderately,Not at all,Slightly,Extremely,Extremely,Extremely,Not at all,Extremely,Very Much,Very Much,Very Much,Very Much,Not at all,Extremely,Not at all,Slightly,Very Much,Very Much,Male,Caucasian / European American,25
